partida,categoria,anio_construccion_desde,anio_construccion_hasta,valor_m2
MUROS,A,1990,,894.27
TECHOS,A,1990,,543.16
PUERTAS,A,1990,,485.33
MUROS,B,1990,,576.57
TECHOS,B,1990,,354.37
PUERTAS,B,1990,,255.81
MUROS,C,1990,,387.43
TECHOS,C,1990,,285.80
PUERTAS,C,1990,,161.41
MUROS,D,1990,,374.68
TECHOS,D,1990,,181.40
PUERTAS,D,1990,,141.39
MUROS,E,1990,,263.77
TECHOS,E,1990,,67.63
PUERTAS,E,1990,,120.98
MUROS,F,1990,,198.64
TECHOS,F,1990,,37.19
PUERTAS,F,1990,,90.81
MUROS,G,1990,,117.05
TECHOS,G,1990,,25.57
PUERTAS,G,1990,,49.05
TECHOS,H,1990,,0.00
PUERTAS,H,1990,,24.53
PUERTAS,I,1990,,0.00
